train/mandarin/A08,0.78,0.93,mandarin/train/A08/A08_00000
train/mandarin/A08,1.84,1.18,mandarin/train/A08/A08_00001
train/mandarin/A08,3.25,1.07,mandarin/train/A08/A08_00002
train/mandarin/A08,4.68,1.69,mandarin/train/A08/A08_00003
train/mandarin/A08,6.68,0.69,mandarin/train/A08/A08_00004
train/mandarin/A08,7.4,1.08,mandarin/train/A08/A08_00005
train/mandarin/A08,10.26,0.67,mandarin/train/A08/A08_00007
train/mandarin/A08,11.01,0.97,mandarin/train/A08/A08_00008
train/mandarin/A08,12.37,1.9,mandarin/train/A08/A08_00009
train/mandarin/A08,14.5,2.44,mandarin/train/A08/A08_00010
train/mandarin/A08,17.36,1.16,mandarin/train/A08/A08_00011
train/mandarin/A08,18.85,0.97,mandarin/train/A08/A08_00012
train/mandarin/A08,20.02,1.05,mandarin/train/A08/A08_00013
train/mandarin/A08,22.37,1.84,mandarin/train/A08/A08_00015
train/mandarin/A08,24.34,1.63,mandarin/train/A08/A08_00016
train/mandarin/A08,26.0,1.64,mandarin/train/A08/A08_00017
train/mandarin/A08,28.04,0.68,mandarin/train/A08/A08_00018
train/mandarin/A08,28.77,1.29,mandarin/train/A08/A08_00019
train/mandarin/A08,30.86,0.89,mandarin/train/A08/A08_00021
train/mandarin/A08,32.04,2.86,mandarin/train/A08/A08_00022
train/mandarin/A08,35.26,1.84,mandarin/train/A08/A08_00023
train/mandarin/A08,37.17,0.61,mandarin/train/A08/A08_00024
train/mandarin/A08,37.81,0.94,mandarin/train/A08/A08_00025
train/mandarin/A08,40.32,1.7,mandarin/train/A08/A08_00027
train/mandarin/A08,42.23,2.19,mandarin/train/A08/A08_00028
train/mandarin/A08,44.65,2.26,mandarin/train/A08/A08_00029
train/mandarin/A08,47.69,1.51,mandarin/train/A08/A08_00031
train/mandarin/A08,49.23,0.59,mandarin/train/A08/A08_00032
train/mandarin/A08,50.34,2.72,mandarin/train/A08/A08_00033
train/mandarin/A08,53.41,1.71,mandarin/train/A08/A08_00034
train/mandarin/A08,56.27,2.07,mandarin/train/A08/A08_00036
train/mandarin/A08,58.64,1.7,mandarin/train/A08/A08_00037
train/mandarin/A08,60.74,1.76,mandarin/train/A08/A08_00038
train/mandarin/A08,62.68,1.18,mandarin/train/A08/A08_00039
train/mandarin/A08,64.25,2.54,mandarin/train/A08/A08_00040
train/mandarin/A08,67.79,1.35,mandarin/train/A08/A08_00042
train/mandarin/A08,69.45,0.85,mandarin/train/A08/A08_00043
train/mandarin/A08,70.34,1.26,mandarin/train/A08/A08_00044
train/mandarin/A08,71.96,0.86,mandarin/train/A08/A08_00045
train/mandarin/A08,72.86,0.92,mandarin/train/A08/A08_00046
train/mandarin/A08,74.21,1.34,mandarin/train/A08/A08_00047
train/mandarin/A08,75.68,0.35,mandarin/train/A08/A08_00048
train/mandarin/A08,76.06,0.84,mandarin/train/A08/A08_00049
train/mandarin/A08,77.72,0.61,mandarin/train/A08/A08_00051
train/mandarin/A08,78.54,1.5,mandarin/train/A08/A08_00052
train/mandarin/A08,80.15,1.95,mandarin/train/A08/A08_00053
train/mandarin/A08,82.39,2.15,mandarin/train/A08/A08_00054
train/mandarin/A08,84.67,0.88,mandarin/train/A08/A08_00055
train/mandarin/A08,86.77,0.99,mandarin/train/A08/A08_00057
train/mandarin/A08,87.83,1.35,mandarin/train/A08/A08_00058
train/mandarin/A08,89.44,1.13,mandarin/train/A08/A08_00059
train/mandarin/A08,90.89,2.21,mandarin/train/A08/A08_00060
train/mandarin/A08,93.32,1.0,mandarin/train/A08/A08_00061
train/mandarin/A08,95.13,1.53,mandarin/train/A08/A08_00063
train/mandarin/A08,96.98,1.76,mandarin/train/A08/A08_00064
train/mandarin/A08,99.12,1.77,mandarin/train/A08/A08_00065
train/mandarin/A08,101.09,1.28,mandarin/train/A08/A08_00066
train/mandarin/A08,103.06,1.97,mandarin/train/A08/A08_00068
train/mandarin/A08,105.36,1.19,mandarin/train/A08/A08_00069
train/mandarin/A08,106.88,0.91,mandarin/train/A08/A08_00070
train/mandarin/A08,107.91,1.39,mandarin/train/A08/A08_00071
train/mandarin/A08,109.54,1.01,mandarin/train/A08/A08_00072
train/mandarin/A08,111.58,0.99,mandarin/train/A08/A08_00074
train/mandarin/A08,112.74,3.52,mandarin/train/A08/A08_00075
train/mandarin/A08,116.46,0.79,mandarin/train/A08/A08_00076
train/mandarin/A08,117.31,1.87,mandarin/train/A08/A08_00077
train/mandarin/A08,119.99,1.75,mandarin/train/A08/A08_00079
train/mandarin/A08,121.8,0.73,mandarin/train/A08/A08_00080
train/mandarin/A08,122.85,1.46,mandarin/train/A08/A08_00081
train/mandarin/A08,124.64,2.0,mandarin/train/A08/A08_00082
train/mandarin/A08,126.69,1.25,mandarin/train/A08/A08_00083
train/mandarin/A08,129.13,2.24,mandarin/train/A08/A08_00085
train/mandarin/A08,131.68,1.97,mandarin/train/A08/A08_00086
train/mandarin/A08,133.68,0.65,mandarin/train/A08/A08_00087
train/mandarin/A08,134.65,1.31,mandarin/train/A08/A08_00088
train/mandarin/A08,136.81,0.73,mandarin/train/A08/A08_00090
train/mandarin/A08,137.65,1.16,mandarin/train/A08/A08_00091
train/mandarin/A08,139.05,1.22,mandarin/train/A08/A08_00092
train/mandarin/A08,140.42,1.43,mandarin/train/A08/A08_00093
train/mandarin/A08,142.28,1.7,mandarin/train/A08/A08_00094
train/mandarin/A08,144.28,0.91,mandarin/train/A08/A08_00095
train/mandarin/A08,146.05,1.9,mandarin/train/A08/A08_00097
train/mandarin/A08,148.58,2.58,mandarin/train/A08/A08_00098
train/mandarin/A08,151.34,2.6,mandarin/train/A08/A08_00099
train/mandarin/A08,154.6,1.4,mandarin/train/A08/A08_00101
train/mandarin/A08,156.27,3.24,mandarin/train/A08/A08_00102
train/mandarin/A08,159.54,0.89,mandarin/train/A08/A08_00103
train/mandarin/A08,160.73,1.21,mandarin/train/A08/A08_00104
train/mandarin/A08,162.96,0.83,mandarin/train/A08/A08_00106
train/mandarin/A08,163.93,1.15,mandarin/train/A08/A08_00107
